locus_tag	ftype	length_bp	gene	EC_number	COG	product
OKAGGDNG_02140	CDS	177				hypothetical protein
OKAGGDNG_02141	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
OKAGGDNG_02142	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
OKAGGDNG_02143	tRNA	75				tRNA-Arg(cct)
OKAGGDNG_02144	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
OKAGGDNG_02145	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
OKAGGDNG_02146	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
OKAGGDNG_02147	CDS	1539	emrY			putative multidrug resistance protein EmrY
OKAGGDNG_02148	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
OKAGGDNG_02149	CDS	615	evgA			DNA-binding transcriptional activator EvgA
OKAGGDNG_02150	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
OKAGGDNG_02151	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
OKAGGDNG_02152	CDS	945				hypothetical protein
OKAGGDNG_02153	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
OKAGGDNG_02154	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
OKAGGDNG_02155	CDS	633	yfdX			Protein YfdX
OKAGGDNG_02156	CDS	276				hypothetical protein
OKAGGDNG_02157	CDS	243				hypothetical protein
OKAGGDNG_02158	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
OKAGGDNG_02159	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
OKAGGDNG_02160	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
OKAGGDNG_02161	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
OKAGGDNG_02162	CDS	858	rhaR_3			HTH-type transcriptional activator RhaR
OKAGGDNG_02163	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
OKAGGDNG_02164	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
OKAGGDNG_02165	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
OKAGGDNG_02166	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
OKAGGDNG_02167	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
OKAGGDNG_02168	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
OKAGGDNG_02169	CDS	1257	yfeO			Putative ion-transport protein YfeO
OKAGGDNG_02170	CDS	327				hypothetical protein
OKAGGDNG_02171	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
OKAGGDNG_02172	CDS	1203	nupC		COG1972	Nucleoside permease NupC
OKAGGDNG_02173	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
OKAGGDNG_02174	tRNA	76				tRNA-Ala(ggc)
OKAGGDNG_02175	tRNA	76				tRNA-Ala(ggc)
OKAGGDNG_02176	CDS	360				hypothetical protein
OKAGGDNG_02177	CDS	372				hypothetical protein
OKAGGDNG_02178	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
OKAGGDNG_02179	tRNA	76				tRNA-Val(tac)
OKAGGDNG_02180	tRNA	76				tRNA-Val(tac)
OKAGGDNG_02181	tRNA	76				tRNA-Val(tac)
OKAGGDNG_02182	tRNA	76				tRNA-Lys(ttt)
OKAGGDNG_02183	CDS	342				hypothetical protein
OKAGGDNG_02184	CDS	927	cynR_3			HTH-type transcriptional regulator CynR
OKAGGDNG_02185	CDS	999				hypothetical protein
OKAGGDNG_02186	CDS	219				hypothetical protein
OKAGGDNG_02187	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
OKAGGDNG_02188	CDS	987	zipA		COG3115	Cell division protein ZipA
OKAGGDNG_02189	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
OKAGGDNG_02190	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
OKAGGDNG_02191	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
OKAGGDNG_02192	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
OKAGGDNG_02193	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
OKAGGDNG_02194	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
OKAGGDNG_02195	CDS	375				hypothetical protein
OKAGGDNG_02196	CDS	735				hypothetical protein
OKAGGDNG_02197	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
OKAGGDNG_02198	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
OKAGGDNG_02199	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
OKAGGDNG_02200	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
OKAGGDNG_02201	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
OKAGGDNG_02202	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
OKAGGDNG_02203	CDS	858	murR_2		COG1737	HTH-type transcriptional regulator MurR
OKAGGDNG_02204	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
OKAGGDNG_02205	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
OKAGGDNG_02206	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
OKAGGDNG_02207	CDS	576	yfeY			putative protein YfeY
OKAGGDNG_02208	CDS	450	yfeZ			Inner membrane protein YfeZ
OKAGGDNG_02209	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
OKAGGDNG_02210	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
OKAGGDNG_02211	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
OKAGGDNG_02212	CDS	1053				hypothetical protein
OKAGGDNG_02213	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
OKAGGDNG_02214	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
OKAGGDNG_02215	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
OKAGGDNG_02216	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
OKAGGDNG_02217	CDS	1404				hypothetical protein
OKAGGDNG_02218	CDS	1227				hypothetical protein
OKAGGDNG_02219	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
OKAGGDNG_02220	CDS	837	ftsA_2			Cell division protein FtsA
OKAGGDNG_02221	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
OKAGGDNG_02222	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
OKAGGDNG_02223	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
OKAGGDNG_02224	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
OKAGGDNG_02225	CDS	810				hypothetical protein
OKAGGDNG_02226	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
OKAGGDNG_02227	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
OKAGGDNG_02228	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
OKAGGDNG_02229	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
OKAGGDNG_02230	CDS	951	tal_1	2.2.1.2		Transaldolase
OKAGGDNG_02231	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
OKAGGDNG_02232	CDS	1044				hypothetical protein
OKAGGDNG_02233	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
OKAGGDNG_02234	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
OKAGGDNG_02235	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
OKAGGDNG_02236	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
OKAGGDNG_02237	CDS	357	yffB		COG1393	Protein YffB
OKAGGDNG_02238	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
OKAGGDNG_02239	CDS	201				hypothetical protein
OKAGGDNG_02240	CDS	699				hypothetical protein
OKAGGDNG_02241	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
OKAGGDNG_02242	CDS	864			COG2321	putative protein
OKAGGDNG_02243	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OKAGGDNG_02244	CDS	231				hypothetical protein
OKAGGDNG_02245	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
OKAGGDNG_02246	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
OKAGGDNG_02247	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
OKAGGDNG_02248	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
OKAGGDNG_02249	CDS	618	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
OKAGGDNG_02250	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
OKAGGDNG_02251	CDS	720	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
OKAGGDNG_02252	CDS	111				hypothetical protein
OKAGGDNG_02253	CDS	1350	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OKAGGDNG_02254	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
OKAGGDNG_02255	CDS	1581	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OKAGGDNG_02256	CDS	1668	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
OKAGGDNG_02257	CDS	540	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
OKAGGDNG_02258	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
OKAGGDNG_02259	CDS	414				hypothetical protein
OKAGGDNG_02260	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
OKAGGDNG_02261	CDS	849	focB		COG2116	putative formate transporter 2
OKAGGDNG_02262	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
OKAGGDNG_02263	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
OKAGGDNG_02264	CDS	360	yfgD		COG1393	putative protein YfgD
OKAGGDNG_02265	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
OKAGGDNG_02266	CDS	1290	uraA		COG2233	Uracil permease
OKAGGDNG_02267	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
OKAGGDNG_02268	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
OKAGGDNG_02269	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
OKAGGDNG_02270	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
OKAGGDNG_02271	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
OKAGGDNG_02272	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
OKAGGDNG_02273	CDS	153				hypothetical protein
OKAGGDNG_02274	CDS	174	yfgG			Protein YfgG
OKAGGDNG_02275	CDS	516				hypothetical protein
OKAGGDNG_02276	CDS	540				hypothetical protein
OKAGGDNG_02277	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
OKAGGDNG_02278	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
OKAGGDNG_02279	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
OKAGGDNG_02280	CDS	216	yfgJ			putative protein YfgJ
OKAGGDNG_02281	CDS	1473	der		COG1160	GTPase Der
OKAGGDNG_02282	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
OKAGGDNG_02283	CDS	621				hypothetical protein
OKAGGDNG_02284	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
OKAGGDNG_02285	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
OKAGGDNG_02286	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
OKAGGDNG_02287	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
OKAGGDNG_02288	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
OKAGGDNG_02289	CDS	2274	pbpC		COG4953	Penicillin-binding protein 1C
OKAGGDNG_02290	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
OKAGGDNG_02291	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
OKAGGDNG_02292	CDS	777				hypothetical protein
OKAGGDNG_02293	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
OKAGGDNG_02294	CDS	201	iscX		COG2975	Protein IscX
OKAGGDNG_02295	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
OKAGGDNG_02296	CDS	1851	hscA		COG0443	Chaperone protein HscA
OKAGGDNG_02297	CDS	516	hscB		COG1076	Co-chaperone protein HscB
OKAGGDNG_02298	CDS	324	iscA		COG0316	Iron-binding protein IscA
OKAGGDNG_02299	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
OKAGGDNG_02300	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
OKAGGDNG_02301	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
OKAGGDNG_02302	CDS	1002	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
OKAGGDNG_02303	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
OKAGGDNG_02304	CDS	801	ydcF		COG1434	Protein YdcF
OKAGGDNG_02305	CDS	3903				hypothetical protein
OKAGGDNG_02306	CDS	606	azoR_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
OKAGGDNG_02307	CDS	1317	ynbD		COG0671	putative protein YnbD
OKAGGDNG_02308	CDS	1758	ynbC		COG2267	putative protein YnbC
OKAGGDNG_02309	CDS	897				hypothetical protein
OKAGGDNG_02310	CDS	606	ynbA		COG0558	Inner membrane protein YnbA
OKAGGDNG_02311	CDS	2307				hypothetical protein
OKAGGDNG_02312	CDS	498	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
OKAGGDNG_02313	CDS	135				hypothetical protein
OKAGGDNG_02314	CDS	639	leuE		COG1280	Leucine efflux protein
OKAGGDNG_02315	CDS	924	dmlR_3			HTH-type transcriptional regulator DmlR
OKAGGDNG_02316	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
OKAGGDNG_02317	CDS	1431	caiT_2		COG1292	L-carnitine/gamma-butyrobetaine antiporter
OKAGGDNG_02318	CDS	1125	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
OKAGGDNG_02319	CDS	966	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
OKAGGDNG_02320	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
OKAGGDNG_02321	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
OKAGGDNG_02322	CDS	582	slp_2		COG3065	Outer membrane protein Slp
OKAGGDNG_02323	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
OKAGGDNG_02324	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
OKAGGDNG_02325	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
OKAGGDNG_02326	CDS	300				hypothetical protein
OKAGGDNG_02327	CDS	180				hypothetical protein
OKAGGDNG_02328	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
OKAGGDNG_02329	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
OKAGGDNG_02330	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
OKAGGDNG_02331	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
OKAGGDNG_02332	CDS	1557				hypothetical protein
OKAGGDNG_02333	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
OKAGGDNG_02334	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
OKAGGDNG_02335	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
OKAGGDNG_02336	CDS	459				hypothetical protein
OKAGGDNG_02337	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
OKAGGDNG_02338	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
OKAGGDNG_02339	CDS	210	cspC			Cold shock-like protein CspC
OKAGGDNG_02340	CDS	288				hypothetical protein
OKAGGDNG_02341	CDS	240				hypothetical protein
OKAGGDNG_02342	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
OKAGGDNG_02343	CDS	1374	ribZ			Riboflavin transporter RibZ
OKAGGDNG_02344	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
OKAGGDNG_02345	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
OKAGGDNG_02346	CDS	699	proQ		COG3109	RNA chaperone ProQ
OKAGGDNG_02347	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
OKAGGDNG_02348	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
OKAGGDNG_02349	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
OKAGGDNG_02350	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
OKAGGDNG_02351	CDS	237	yebV			putative protein YebV
OKAGGDNG_02352	CDS	276				hypothetical protein
OKAGGDNG_02353	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
OKAGGDNG_02354	CDS	342				hypothetical protein
OKAGGDNG_02355	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
OKAGGDNG_02356	CDS	375	yobA		COG2372	Protein YobA
OKAGGDNG_02357	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
OKAGGDNG_02358	CDS	657				hypothetical protein
OKAGGDNG_02359	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
OKAGGDNG_02360	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
OKAGGDNG_02361	CDS	660	yebE		COG2979	Inner membrane protein YebE
OKAGGDNG_02362	CDS	111				hypothetical protein
OKAGGDNG_02363	CDS	207				hypothetical protein
OKAGGDNG_02364	CDS	357	yebF			Protein YebF
OKAGGDNG_02365	CDS	291				hypothetical protein
OKAGGDNG_02366	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
OKAGGDNG_02367	CDS	642	eda		COG0800	KHG/KDPG aldolase
OKAGGDNG_02368	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
OKAGGDNG_02369	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
OKAGGDNG_02370	CDS	150				hypothetical protein
OKAGGDNG_02371	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
OKAGGDNG_02372	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
OKAGGDNG_02373	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
OKAGGDNG_02374	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
OKAGGDNG_02375	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
OKAGGDNG_02376	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
OKAGGDNG_02377	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
OKAGGDNG_02378	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
OKAGGDNG_02379	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
OKAGGDNG_02380	CDS	603				hypothetical protein
OKAGGDNG_02381	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
OKAGGDNG_02382	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
OKAGGDNG_02383	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
OKAGGDNG_02384	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
OKAGGDNG_02385	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
OKAGGDNG_02386	CDS	819				hypothetical protein
OKAGGDNG_02387	CDS	396	yecN		COG3788	Inner membrane protein YecN
OKAGGDNG_02388	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
OKAGGDNG_02389	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
OKAGGDNG_02390	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
OKAGGDNG_02391	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
OKAGGDNG_02392	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
OKAGGDNG_02393	CDS	567	yecM		COG3102	Protein YecM
OKAGGDNG_02394	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
OKAGGDNG_02395	CDS	489				hypothetical protein
OKAGGDNG_02396	CDS	393	flhE			Flagellar protein FlhE
OKAGGDNG_02397	CDS	2079	flhA_2		COG1298	Flagellar biosynthesis protein FlhA
OKAGGDNG_02398	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
OKAGGDNG_02399	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
OKAGGDNG_02400	CDS	390	cheY		COG0784	Chemotaxis protein CheY
OKAGGDNG_02401	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
OKAGGDNG_02402	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
OKAGGDNG_02403	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
OKAGGDNG_02404	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
OKAGGDNG_02405	CDS	504	cheW		COG0835	Chemotaxis protein CheW
OKAGGDNG_02406	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
OKAGGDNG_02407	CDS	927	motB		COG1360	Motility protein B
OKAGGDNG_02408	CDS	888	motA		COG1291	Motility protein A
OKAGGDNG_02409	CDS	579	flhC			Flagellar transcriptional regulator FlhC
OKAGGDNG_02410	CDS	351	flhD			Flagellar transcriptional regulator FlhD
OKAGGDNG_02411	CDS	429	uspC		COG0589	Universal stress protein C
OKAGGDNG_02412	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
OKAGGDNG_02413	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
OKAGGDNG_02414	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
OKAGGDNG_02415	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
OKAGGDNG_02416	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
OKAGGDNG_02417	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
OKAGGDNG_02418	CDS	252				hypothetical protein
OKAGGDNG_02419	CDS	324				hypothetical protein
OKAGGDNG_02420	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
OKAGGDNG_02421	CDS	240				hypothetical protein
OKAGGDNG_02422	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
OKAGGDNG_02423	CDS	666				hypothetical protein
OKAGGDNG_02424	tRNA	87				tRNA-Leu(taa)
OKAGGDNG_02425	tRNA	74				tRNA-Cys(gca)
OKAGGDNG_02426	tRNA	76				tRNA-Gly(gcc)
OKAGGDNG_02427	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
OKAGGDNG_02428	CDS	1833	uvrC		COG0322	UvrABC system protein C
OKAGGDNG_02429	CDS	489	uvrY		COG2197	Response regulator UvrY
OKAGGDNG_02430	CDS	2415				hypothetical protein
OKAGGDNG_02431	CDS	687	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
OKAGGDNG_02432	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
OKAGGDNG_02433	CDS	771				hypothetical protein
OKAGGDNG_02434	CDS	855	cnoX		COG3118	Chaperedoxin
OKAGGDNG_02435	CDS	780	fetB		COG0390	putative iron export permease protein FetB
OKAGGDNG_02436	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
OKAGGDNG_02437	CDS	918	qmcA		COG0330	Protein QmcA
OKAGGDNG_02438	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
OKAGGDNG_02439	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
OKAGGDNG_02440	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
OKAGGDNG_02441	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
OKAGGDNG_02442	CDS	2505	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
OKAGGDNG_02443	CDS	657				ISAs1 family transposase ISEc1
OKAGGDNG_02444	CDS	762				ISAs1 family transposase ISEc1
OKAGGDNG_02445	CDS	510				hypothetical protein
OKAGGDNG_02446	CDS	1422	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
OKAGGDNG_02447	CDS	1482	dtpD		COG3104	Dipeptide permease D
OKAGGDNG_02448	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
OKAGGDNG_02449	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
OKAGGDNG_02450	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
OKAGGDNG_02451	CDS	735	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
OKAGGDNG_02452	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
OKAGGDNG_02453	CDS	1047				hypothetical protein
OKAGGDNG_02454	CDS	1062				hypothetical protein
OKAGGDNG_02455	CDS	732	papD_1		COG3121	Chaperone protein PapD
OKAGGDNG_02456	CDS	2451	papC_2		COG3188	Outer membrane usher protein PapC
OKAGGDNG_02457	CDS	567	ybgD_1			putative fimbrial-like protein YbgD
OKAGGDNG_02458	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
OKAGGDNG_02459	CDS	108	ybgU			Protein YbgU
OKAGGDNG_02460	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
OKAGGDNG_02461	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
OKAGGDNG_02462	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
OKAGGDNG_02463	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
